question_en,question_hi,question_mr,intent,answer_en,answer_hi,answer_mr
Show me eligibility criteria for this year?,मुझे दिखाइए पात्रता मानदंड for this year?,मला दाखवा पात्रता निकष for this year?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
How to fee concession please?,कैसे फीस रियायती please?,कसे फी सवलत please?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Show me tuition fees?,मुझे दिखाइए शिक्षण शुल्क?,मला दाखवा शिक्षण फी?,fees,Fees can be paid online via the portal or at the accounts office.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Is there class timetable please?,क्या वहाँ है क्लास टाइमटेबल please?,आहे का क्लास वेळापत्रक please?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक बदल असल्यास कॉलेज ते पोर्टलवर आणि नोटिस बोर्डवर अपडेट करतो.
Can I timetable changes?,क्या मैं समय सारणी में बदलाव?,मी करू शकतो का वेळापत्रक बदल?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Who handles marks sheet?,कौन संभालता है मार्कशीट?,कोण सांभाळतो मार्कशीट?,results,You can download your marksheet from the results section after declaration.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Tell me result notification please?,बताइए परिणाम सूचना please?,मला सांगू निकाल सूचना please?,results,"For revaluation, follow the procedure available on the examination page.",घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Where can I online exam for students?,कहाँ मैं ऑनलाइन परीक्षा for students?,मी कुठे ऑनलाइन परीक्षा for students?,exam,Exam dates are published on the student portal. Please check the exam section for details.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Show me exam schedule please?,मुझे दिखाइए परीक्षा समय सारणी please?,मला दाखवा परीक्षा वेळापत्रक please?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Do you have timetable changes?,क्या आपके पास है समय सारणी में बदलाव?,तुमच्याकडे आहे का वेळापत्रक बदल?,timetable,Class timetables are published each semester. Download the PDF from your dashboard.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Do you have application deadline for this year?,क्या आपके पास है आवेदन की अंतिम तिथि for this year?,तुमच्याकडे आहे का अर्जाची अंतिम तारीख for this year?,admission,You can apply online through the official admissions portal. Keep your documents ready.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
When are admission fees for students?,कब हैं प्रवेश शुल्क for students?,केव्हा आहेत प्रवेश फी for students?,admission,Application deadlines are posted on the website — check the admissions page regularly.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Who handles marks sheet for students?,कौन संभालता है मार्कशीट for students?,कोण सांभाळतो मार्कशीट for students?,results,"For revaluation, follow the procedure available on the examination page.",घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
How to documents required please?,कैसे आवश्यक दस्तावेज़ please?,कसे आवश्यक कागदपत्रे please?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Where can I admit card please?,कहाँ मैं एडमिट कार्ड please?,मी कुठे एडमिट कार्ड please?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Is there result notification?,क्या वहाँ है परिणाम सूचना?,आहे का निकाल सूचना?,results,Results are published on the official college website and student portal.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Tell me how to get result please?,बताइए परिणाम कैसे पाएं please?,मला सांगू निकाल कसा मिळवायचा please?,results,Results are published on the official college website and student portal.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Is there class timetable?,क्या वहाँ है क्लास टाइमटेबल?,आहे का क्लास वेळापत्रक?,timetable,The timetable is available in the student portal under the timetable section.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,क्लास वेळापत्रक प्रत्येक सेमेस्टरमध्ये प्रकाशित केले जाते. तुमच्या डॅशबोर्डवरून PDF डाउनलोड करा.
Who handles timetable pdf?,कौन संभालता है टाइमटेबल पीडीएफ?,कोण सांभाळतो वेळापत्रक PDF?,timetable,The timetable is available in the student portal under the timetable section.,समय सारणी छात्र पोर्टल के समय सारणी अनुभाग में उपलब्ध है।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
Show me fee refund please?,मुझे दिखाइए फीस रिफंड please?,मला दाखवा फी परतावा please?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
When are revaluation for students?,कब हैं पुनर्मूल्यांकन for students?,केव्हा आहेत पुनर्मूल्यांकन for students?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Who handles grade card please?,कौन संभालता है ग्रेड कार्ड please?,कोण सांभाळतो ग्रेड कार्ड please?,results,"For revaluation, follow the procedure available on the examination page.",घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,निकाल अधिकृत कॉलेज वेबसाइट आणि विद्यार्थी पोर्टलवर प्रकाशित केले जातात.
Show me admission portal?,मुझे दिखाइए प्रवेश पोर्टल?,मला दाखवा प्रवेश पोर्टल?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
When are admission fees for students?,कब हैं प्रवेश शुल्क for students?,केव्हा आहेत प्रवेश फी for students?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Show me application deadline please?,मुझे दिखाइए आवेदन की अंतिम तिथि please?,मला दाखवा अर्जाची अंतिम तारीख please?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,आपण अधिकृत प्रवेश पोर्टलद्वारे ऑनलाइन अर्ज करू शकता. आपले दस्तऐवज तयार ठेवा.
Is there admission dates?,क्या वहाँ है प्रवेश तिथियाँ?,आहे का प्रवेश तारखा?,admission,You can apply online through the official admissions portal. Keep your documents ready.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Where can I fee structure?,कहाँ मैं फीस संरचना?,मी कुठे फी संरचना?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Tell me admission portal for students?,बताइए प्रवेश पोर्टल for students?,मला सांगू प्रवेश पोर्टल for students?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आवेदन की आखिरी तारीख वेबसाइट पर प्रकाशित होती है — प्रवेश पृष्ठ नियमित रूप से देखें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Show me fee structure please?,मुझे दिखाइए फीस संरचना please?,मला दाखवा फी संरचना please?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Do you have exam registration for this year?,क्या आपके पास है परीक्षा पंजीकरण for this year?,तुमच्याकडे आहे का परीक्षा नोंदणी for this year?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Where can I pass percentage please?,कहाँ मैं पास प्रतिशत please?,मी कुठे पास टक्केवारी please?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Is there how to pay fees?,क्या वहाँ है फीस कैसे भरें?,आहे का फीस कसे भरणे?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
What is timetable pdf for students?,क्या है टाइमटेबल पीडीएफ for students?,काय आहे वेळापत्रक PDF for students?,timetable,The timetable is available in the student portal under the timetable section.,कक्षा समय सारणी प्रत्येक सेमेस्टर में प्रकाशित की जाती है। अपना पीडीएफ डैशबोर्ड से डाउनलोड करें।,वेळापत्रक विद्यार्थी पोर्टलवर वेळापत्रक विभागात उपलब्ध आहे.
When are exam pattern?,कब हैं परीक्षा पैटर्न?,केव्हा आहेत परीक्षा नमुना?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Who handles scholarship for this year?,कौन संभालता है छात्रवृत्ति for this year?,कोण सांभाळतो शिष्यवृत्ती for this year?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
When are exam centre for students?,कब हैं परीक्षा केंद्र for students?,केव्हा आहेत परीक्षा केंद्र for students?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
Show me scholarship please?,मुझे दिखाइए छात्रवृत्ति please?,मला दाखवा शिष्यवृत्ती please?,fees,Fee structure depends on the course. Check the fees section on the official website.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Who handles result date for students?,कौन संभालता है परिणाम तिथि for students?,कोण सांभाळतो निकाल तारीख for students?,results,Results are published on the official college website and student portal.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
How to late fee?,कैसे लेट फीस?,कसे लेट फी?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
When are late fee?,कब हैं लेट फीस?,केव्हा आहेत लेट फी?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
How to exam registration please?,कैसे परीक्षा पंजीकरण please?,कसे परीक्षा नोंदणी please?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
When are fee refund for this year?,कब हैं फीस रिफंड for this year?,केव्हा आहेत फी परतावा for this year?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
What is late fee?,क्या है लेट फीस?,काय आहे लेट फी?,fees,Fees can be paid online via the portal or at the accounts office.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Is there eligibility criteria for this year?,क्या वहाँ है पात्रता मानदंड for this year?,आहे का पात्रता निकष for this year?,admission,Application deadlines are posted on the website — check the admissions page regularly.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,अर्जांची अंतिम तारीख वेबसाइटवर प्रकाशित केली जाते — प्रवेश पृष्ठ नियमितपणे तपासा.
Tell me fee refund for students?,बताइए फीस रिफंड for students?,मला सांगू फी परतावा for students?,fees,Fees can be paid online via the portal or at the accounts office.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Show me grade card please?,मुझे दिखाइए ग्रेड कार्ड please?,मला दाखवा ग्रेड कार्ड please?,results,You can download your marksheet from the results section after declaration.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
Can I fee receipt?,क्या मैं फीस रसीद?,मी करू शकतो का फी पावती?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Where can I result notification for students?,कहाँ मैं परिणाम सूचना for students?,मी कुठे निकाल सूचना for students?,results,Results are published on the official college website and student portal.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Show me fee deadline please?,मुझे दिखाइए फीस की अंतिम तिथि please?,मला दाखवा फीची अंतिम तारीख please?,fees,Fees can be paid online via the portal or at the accounts office.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
When are application deadline please?,कब हैं आवेदन की अंतिम तिथि please?,केव्हा आहेत अर्जाची अंतिम तारीख please?,admission,Admissions are processed through the college portal. Check eligibility and apply online.,आप आधिकारिक प्रवेश पोर्टल के माध्यम से ऑनलाइन आवेदन कर सकते हैं। अपने दस्तावेज़ तैयार रखें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
What is tuition fees please?,क्या है शिक्षण शुल्क please?,काय आहे शिक्षण फी please?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
When are tuition fees please?,कब हैं शिक्षण शुल्क please?,केव्हा आहेत शिक्षण फी please?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
Do you have exam syllabus for students?,क्या आपके पास है परीक्षा पाठ्यक्रम for students?,तुमच्याकडे आहे का परीक्षा अभ्यासक्रम for students?,exam,Admit cards are available on the portal a few days before the exams.,एडमिट कार्ड परीक्षा से कुछ दिन पहले पोर्टल पर उपलब्ध होते हैं।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
When are online exam please?,कब हैं ऑनलाइन परीक्षा please?,केव्हा आहेत ऑनलाइन परीक्षा please?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,परीक्षेच्या तारखा विद्यार्थी पोर्टलवर प्रकाशित केल्या जातात. तपशीलांसाठी परीक्षा विभाग पाहा.
Tell me tuition fees for this year?,बताइए शिक्षण शुल्क for this year?,मला सांगू शिक्षण फी for this year?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी पोर्टलद्वारे ऑनलाइन किंवा अकाउंट्स ऑफिसमध्ये भरता येतात.
How to grade card?,कैसे ग्रेड कार्ड?,कसे ग्रेड कार्ड?,results,"For revaluation, follow the procedure available on the examination page.",घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Do you have fee refund?,क्या आपके पास है फीस रिफंड?,तुमच्याकडे आहे का फी परतावा?,fees,Scholarships are available for eligible students; check the scholarships page.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,पात्र विद्यार्थ्यांसाठी शिष्यवृत्ती उपलब्ध आहेत; शिष्यवृत्ती पृष्ठ तपासा.
Who handles exam registration?,कौन संभालता है परीक्षा पंजीकरण?,कोण सांभाळतो परीक्षा नोंदणी?,exam,Admit cards are available on the portal a few days before the exams.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Do you have admission portal?,क्या आपके पास है प्रवेश पोर्टल?,तुमच्याकडे आहे का प्रवेश पोर्टल?,admission,Application deadlines are posted on the website — check the admissions page regularly.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
What is fee structure for students?,क्या है फीस संरचना for students?,काय आहे फी संरचना for students?,fees,Scholarships are available for eligible students; check the scholarships page.,पात्र छात्रों के लिए छात्रवृत्ति उपलब्ध हैं; छात्रवृत्ति पृष्ठ देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Do you have grade card?,क्या आपके पास है ग्रेड कार्ड?,तुमच्याकडे आहे का ग्रेड कार्ड?,results,You can download your marksheet from the results section after declaration.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
What is exam dates for students?,क्या है परीक्षा की तिथियां for students?,काय आहे परीक्षेच्या तारखा for students?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Tell me result portal?,बताइए परिणाम पोर्टल?,मला सांगू निकाल पोर्टल?,results,Results are published on the official college website and student portal.,घोषणा के बाद आप परिणाम अनुभाग से अपना मार्कशीट डाउनलोड कर सकते हैं।,पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
When are pass percentage please?,कब हैं पास प्रतिशत please?,केव्हा आहेत पास टक्केवारी please?,results,Results are published on the official college website and student portal.,परिणाम आधिकारिक कॉलेज वेबसाइट और छात्र पोर्टल पर प्रकाशित किए जाते हैं।,घोषणेनंतर तुमचा मार्कशीट निकाल विभागातून डाउनलोड करू शकता.
Can I admit card for students?,क्या मैं एडमिट कार्ड for students?,मी करू शकतो का एडमिट कार्ड for students?,exam,Exam dates are published on the student portal. Please check the exam section for details.,परीक्षा की तिथियां छात्र पोर्टल पर प्रकाशित की जाती हैं। विवरण के लिए परीक्षा अनुभाग देखें।,प्रत्येक सेमेस्टरच्या अगोदर परीक्षा वेळापत्रक जाहीर केले जाते. शैक्षणिक कॅलेंडर पहा.
Is there merit list please?,क्या वहाँ है मेरिट सूची please?,आहे का मेरिट यादी please?,admission,Application deadlines are posted on the website — check the admissions page regularly.,प्रवेश कॉलेज पोर्टल के माध्यम से होते हैं। पात्रता देखें और ऑनलाइन आवेदन करें।,प्रवेश कॉलेज पोर्टलद्वारे प्रक्रिया आकारले जातात. पात्रता तपासा आणि ऑनलाइन अर्ज करा.
Is there how to pay fees for this year?,क्या वहाँ है फीस कैसे भरें for this year?,आहे का फीस कसे भरणे for this year?,fees,Fee structure depends on the course. Check the fees section on the official website.,फीस पोर्टल के माध्यम से ऑनलाइन या अकाउंट्स ऑफिस में भरी जा सकती है।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
Show me fee refund?,मुझे दिखाइए फीस रिफंड?,मला दाखवा फी परतावा?,fees,Fees can be paid online via the portal or at the accounts office.,फीस संरचना कोर्स पर निर्भर करती है। आधिकारिक वेबसाइट पर फीस अनुभाग देखें।,फी संरचना कोर्सवर अवलंबून असते. अधिकृत वेबसाइटवर फी विभाग पहा.
How to exam pattern for this year?,कैसे परीक्षा पैटर्न for this year?,कसे परीक्षा नमुना for this year?,exam,The exam schedule is released before each semester. Look at the academic calendar.,परीक्षा कार्यक्रम प्रत्येक सेमेस्टर से पहले जारी किया जाता है। शैक्षणिक कैलेंडर देखें।,एडमिट कार्ड परीक्षा आधी काही दिवस पोर्टलवर उपलब्ध असतात.
How to grade card for students?,कैसे ग्रेड कार्ड for students?,कसे ग्रेड कार्ड for students?,results,Results are published on the official college website and student portal.,"पुनर्मूल्यांकन के लिए, परीक्षा पेज पर उपलब्ध प्रक्रिया का पालन करें।",पुनर्मूल्यांकन साठी परीक्षा पृष्ठावरील प्रक्रिया पाळा.
